acc_x[mg],acc_y[mg],acc_z[mg]
-467.42465571831366,414.2709284006262,768.8395119638205
-479.28395527524697,410.4235391290604,760.8255622460271
-479.2299103159591,398.8517995441869,764.7902188820851
-471.71358211009886,391.0203790285164,761.0040125832982
-498.6340901327161,418.27535396899054,756.5845625162518
-502.56917499859793,426.00786201200214,752.5750383668226
-484.0103399223997,421.81988752530174,733.2442781174
-485.18403328353725,448.558886062009,693.8903703099428
-481.05826148582855,467.9069814870522,697.8111791488429
-461.082020873591,452.48887234682593,721.7102680324067
-465.4790371839518,394.4527438014001,717.9148842877028
-495.05182707652466,379.5587687946445,756.7691311508008
-458.817231164567,406.71381154624675,796.4656636058187
-487.84447288319666,391.9554587958172,851.0255795812027
-465.5687722106938,349.08454976979914,835.8052953862941
-484.56302610983374,329.99240311421335,847.359699795547
-512.1912171842577,314.5885700009688,831.2991694411446
-523.4519433241729,337.92477553496866,834.9762661051429
-535.9118557305502,326.2021179505744,811.2811204641749
-529.0491656172088,283.45051572147474,795.8303804051334
-541.6722326176625,229.20569205590087,776.2008433053082
-527.4584083249632,213.3389077819643,745.0699270393051
-555.9135892481123,241.20469273401213,807.3439961658671
-544.7884853645231,198.52549035603394,803.7301219070733
-527.8754722560711,198.78245884170437,847.1537171205256
-520.3866763879613,225.7019471481087,835.4004680497418
-527.8754722560711,218.09180505065441,843.1635675791429
-496.4478185720915,225.72845976964612,859.3066949467965
-530.5563061799902,230.00209041823663,874.4800721959081
-539.5726369351411,218.14686972615522,839.0632886867586
-531.9747314322425,221.92185914659953,835.2403726043044
-560.0118287080705,206.41605441205715,807.400080557581
-579.5781434026911,164.00911626294405,807.2501822742731
-610.4877812504781,171.95066612961617,802.8358307882917
-595.1012833128541,148.65320981170942,807.0686727883631
-599.0363681787359,175.69608377988408,799.0700188137642
-602.9449404230803,167.98804892598392,799.037387894949
-598.8456812469091,164.1579948300388,806.9605828697873
-580.3959558054994,144.49480709518545,787.6808084310138
-584.1403537395544,159.9995921135148,787.5716987962251
-585.3242442628217,268.83186409222316,842.1316147716092
-504.8655759102242,279.6765460172434,827.6016784528866
-593.2923067510312,109.49202836850506,756.208287233663
-570.8789443897764,66.65446406265137,744.9149301749324
-599.0098555571984,198.8742333008724,795.0676326778258
-594.9116160972402,233.66287162282742,795.0115482861121
-565.8007576491464,182.78922975735856,756.3724615439525
-642.7332473372661,164.10904845181588,763.1331800359961
-638.444320945481,187.3595978239256,770.9676597003055
-549.3068479042283,188.67197259002822,564.293617086365
-645.7148975440136,191.3905360138274,782.6189371497913
-703.2911340773863,217.9306898890039,671.7778242315164
-688.8682679610265,257.1785472103114,746.4292087512046
-593.1577042109182,206.0724100482836,740.1865060953537
-559.3204611156716,143.8024197865734,729.1287034818212
-603.1906920304081,191.0978774607027,787.1821672028675
-586.5774754885716,245.3457602749155,810.7957355467975
-539.3554373817767,268.40664243141134,834.9721872402912
-536.5104291475683,260.3998307271087,807.5693534489353
-539.5196116920661,303.12288090224496,823.0792370483296
-538.8109089240464,326.47132303080053,838.7094471608552
-528.4771048217282,306.7653072150021,807.533663381481
-520.8791993188297,271.9216042175463,811.690026665579
-562.584572713414,272.41922572947954,830.6863199971449
-551.2432889926735,279.9997960567574,822.9813442918837
-528.8034140098811,260.34068718675593,807.6856010972147
-532.601856903224,229.48917316310872,815.5822834505158
-529.0206135632454,229.39026069044988,807.7865530022996
-532.9291858075899,240.99259176171273,803.7647922583146
-498.79418557815364,259.89711063411056,784.5890288732646
-555.42310574967,233.60474779868767,823.0751581834776
-577.3898324096405,217.62885388996244,748.2320670157496
-558.3955785105006,275.3396929634483,728.6994029561573
-574.4907792161442,255.97834122763638,712.824460952517
-586.9782239602719,221.07753412225378,693.1327211637002
-613.1890094986566,233.06327848959637,712.3227605757319
-616.496968893557,233.22949223231177,727.9713255800912
-575.0087950523371,240.40013664197258,701.0956850708449
-566.2667679584772,271.4963825567345,724.6694844824686
-602.9204672339689,307.02227570067254,771.0961439431406
-548.2912105561023,345.3962362274579,783.559115498157
-521.1800156016582,325.9125185460887,791.8799997960568
-469.96680823726757,329.6681333584864,824.0316519912509
-488.3614690031764,337.7595815084662,847.2760830660828
-511.40195683541276,388.1631341997522,838.9113509710248
-483.52699443744814,361.146772853115,870.8172515588913
-487.8159208292332,337.8962234810053,862.9827718945819
-512.5185460886236,345.40133480852285,815.4915287075607
-539.5746763675669,314.69462048711847,819.1145804122713
-525.4679222772303,264.04225703986583,792.0247994982997
-533.2289823742053,217.7461212544549,799.913324121897
-560.3126449908991,241.09762253164948,791.5802032294413
-559.6855195199176,252.84067444030327,807.2481428418472
-556.2949631117662,206.35181229063957,803.5312772455427
-544.8160177022735,213.96603325294572,799.7532286764595
-568.0471924663367,237.2889824761769,791.4772118919306
-561.9758021342661,217.509547093044,748.4635425960956
-529.0756782387463,221.65265406637334,807.812045907624
-502.8924250381119,244.41781852110563,780.6549637235959
-447.51775580855855,266.5334237481709,706.8417859309754
-519.9522772812327,306.91112663345797,831.2084146981896
-620.0873896794523,296.11233193802167,833.6700096363182
-515.4889794170283,251.97085651063313,749.04376112128
-485.9243472541593,252.41239363085256,824.0530660317236
-556.89557596121,237.09727582813707,779.8708019558158
-614.2872438600338,199.02719073281907,798.7630842336579
-590.7583119617811,218.2600582257958,806.8993998970087
-525.9594254918857,290.95256790035336,772.3034879393066
-549.2986901745245,279.49095766648145,768.0675867905962
-562.1654693498799,190.4279239087762,748.5522579066247
-580.179775968348,214.06290629317863,779.5995574431637
-578.3259318931541,284.04195112500196,818.6373532245977
-533.3666440629573,294.9488357390139,780.0278382526144
-537.0019323622237,268.00079537864616,791.8381914313247
-612.2345551233093,233.3029117996462,739.8081913803389
-598.1298404653985,221.26924077029364,704.739131099815
-565.9659516756487,256.1241606460922,736.5002319854385
-568.9210892608587,306.583797729092,751.9836029632954
-565.8038167977852,317.9546532200089,728.4444739029129
-556.4611768544814,318.3054355972733,775.6787486042635
-534.5128050863445,306.24729137880934,744.6508236757711
-530.4410782479237,317.857780179776,748.5971254199958
-533.8041023183248,329.59675322357793,760.2810337882968
-540.6107080399526,341.467269658854,783.6875997409921
-528.8329857800575,372.327961128418,783.7599995921137
-517.8169915312569,333.4828917112368,776.2059418863731
-533.8581472776127,321.8591465995014,760.3065266936212
-541.8109140226276,325.71877246562286,752.325207894643
-545.7459988885093,352.7616464337975,744.3255342038311
-544.0838614613554,376.34972187240294,787.4421948371769
-549.4914165387773,368.26643145212694,744.2174442852555
-525.0345428867147,364.5607827341651,783.8425966053649
-520.6905518194287,376.23959252140133,795.6417329057324
-528.5331892134419,376.2650854267258,791.5995778374879
-505.7394727047463,368.2807074791086,784.1189396990819
-485.5450128229314,364.5026589100254,811.9062065027305
-504.6218637353225,372.42279473622494,815.5190610453112
-508.66605823599303,383.9904554562466,807.5703731651482
-512.8734073307398,353.03696981130156,803.6862741099153
-517.4906823431039,341.2888193215829,784.0343032534047
-544.9281864857011,352.9666093926061,767.8850575884733
-528.80647315852,376.19676444045626,783.7467432813448
-533.0413545910175,379.99316790137306,771.8966211703284
-544.7925642293751,391.6199721617474,763.8327053580989
-548.3727878531405,372.4085187092433,775.6175656314848
-548.8092263922952,368.4367240596942,763.8500405337195
-545.2290027685295,368.33883130324836,756.0553298017163
-553.017595203255,356.79258462369927,755.976811653317
-560.3962617203633,326.03896335649796,771.6692244548343
-564.7127204498988,298.9196106723499,763.8469813850807
-537.4118582798408,306.51649645903547,772.0791503724514
-548.5359424472169,310.5770064191136,783.6723039977975
-541.374475483473,329.69056711517186,764.0927329924083
-541.3469431457225,333.5593704272102,764.0794766816396
-548.9448486486211,310.4750347978158,771.8925423054765
-561.4598257304992,310.32411679829505,744.2337597446632
-549.4903968225643,329.64773903422684,752.1967236518078
-556.760973421097,333.6776575079156,763.8480011012936
-557.0607699877125,329.7405332096078,756.0084228559192
-569.0567115171848,306.54912737785077,748.0576955433304
-572.9102190860284,287.27037265529003,751.9897212605733
-553.5611039447723,279.417538099147,756.2297012741356
-548.998893607909,283.4280819647892,775.9081847521836
-564.5220335180719,287.38152172250466,771.7375454411039
-552.879933514503,298.8981966318774,771.87316769743
-548.9713612701586,267.98753906787744,779.8850779827975
-549.134515864235,264.08406540459794,775.9714071573882
-558.0407172683842,248.3947117517195,744.4937873789725
-550.0063732263312,236.8321496127628,756.4275262194533
-543.035593194414,228.86408712455327,736.9356508083802
-541.699764955413,244.6472546690256,772.2239500746944
-545.2534759576411,267.9232969464598,776.0162746707592
-541.1827688354332,279.5337857474265,779.9625764149838
-541.9730489004911,283.1976261006562,756.390816435786
-554.4604936446187,267.6061652042237,732.7089271055866
-554.0515874432147,267.70915654173444,744.4886887979076
-542.2738651833196,298.5698480112985,744.5610886490291
-525.8788679110604,341.17767025436825,764.2854593566611
-532.7680706459392,341.4417767535295,787.7297548092367
-532.3040997690343,349.2823747151168,799.4840235962332
-528.3690149031526,360.8592128810552,799.5033982042798
-513.1466912758181,352.96762910881904,795.8334395537722
-508.529416263454,345.40643338958773,819.4755599516656
-493.742511459061,352.8534208929656,800.048946378223
-504.6483763568599,329.9352990062866,823.5105770064192
-496.6415646525573,353.1226259731917,827.4772730749033
