acc_x[mg],acc_y[mg],acc_z[mg]
-917.9628109497129,316.30271295498466,236.5221558840175
-894.5144366322853,323.9301902280596,244.69722076346156
-929.1684724141273,308.756812978948,248.15405872545674
-913.6178001662139,308.67217653327083,252.31144172576776
-913.5097102476382,324.14738978142384,252.26045591511885
-903.3115284016459,304.4067036143841,217.15876471577963
-886.9715958048876,319.96757302442734,240.89877787011878
-894.4603916729976,331.66677713592316,244.6717278581371
-886.8349538323486,320.0012236594556,244.8246852900838
-898.1221925938013,300.8499334635172,256.49431763140325
-899.1317116446494,312.18203973834085,225.04423019073792
-902.2489841077229,320.120530456374,244.59422942595077
-914.5722545415612,308.43254322322105,224.82601092116067
-913.9726614083303,316.3067918198366,240.5061871281223
-917.8802139364616,308.59875696593645,240.47355620930696
-914.4631449067725,304.598410262424,228.7651746518944
-886.8889987916364,312.2636170353791,244.85017819540823
-887.7618758699456,304.32104745249404,221.31614771609065
-890.879148333019,292.95019196157716,244.8562964926861
-879.5908898553533,312.1014821575156,233.18666415136667
-902.8210449032035,296.8057389628467,232.8899267333901
-898.7493180647826,308.41622776381337,236.8362284776147
-902.384606364049,300.77651389618273,244.6574518311554
-887.2163276960024,304.45870914124606,237.02283654458964
-898.6942533892818,296.84448817893986,240.8008851136729
-907.329210280779,300.53280172128103,213.1869700662306
-891.2880545344233,312.1565468330164,229.08638525898246
-906.2656462706431,296.93830207053384,244.61156460157142
-891.3155868721735,308.2887632371911,229.0986218535382
-895.3597813728442,300.54605803204976,225.1400835147579
-894.9784075091903,316.08959226647227,232.942951976465
-907.138523348952,308.30507869659874,217.08840429708414
-907.1109910112018,312.17388200863707,217.07514798631541
-899.2948662387258,308.2795857912743,221.13055936532868
-910.6912146349672,312.2717747650829,224.87087843453168
-903.3390607393962,300.5379003023459,217.17100131033536
-910.1731987987745,308.5396134255837,240.58980385758645
-910.2282634742752,320.1113530104572,236.62514722152827
-906.8111944445862,316.11100630694483,224.91574594790274
-902.4661836610873,308.480469885231,240.705031789653
-910.0100442046978,312.44308708886325,244.50347468299574
-914.1093033808692,316.2731411848083,236.58027970815724
-902.2214517699725,304.67998755946223,248.5711226565647
-909.7642925973703,308.6426047630944,252.3695655499075
-893.9148434990544,312.49509261572507,264.3675465118058
-909.9009345699094,308.6079344118532,248.44263841372947
-913.2904712618479,316.47810414361686,260.13878337658633
-921.4614572764401,308.69766943859526,248.26928665752322
-920.6701574951692,305.03382908536554,271.841046636721
-905.7476304344502,312.5154869399846,256.3413601994565
-901.5117292857399,308.7201031952808,268.191482310473
-906.1565366358543,293.1031493935238,248.55072833230517
-909.6551829625815,304.8074520860845,256.3087292806412
-917.1439788306915,297.19832970484316,264.0708090938292
-920.6426251574188,308.90263239740386,271.8288100421653
-917.4162430595566,297.13000871857366,256.2179745376862
-913.3180035995983,293.29995462262855,264.1411695125247
-909.0555898293507,293.37235447374997,275.9790550289855
-916.4893210219598,293.50083871658524,283.716661653062
-905.2561272197948,304.9145222884472,272.07252221706705
-896.9230063273392,316.59843065674823,287.85670947775236
-900.8305588554706,308.8903958028481,287.82407855893706
-909.5460733277931,281.6639729163374,264.2370228365446
-916.6534953322491,308.9067112622557,275.8128412862701
-916.8166499263256,305.00425731518925,271.8991704608608
-908.9464801945619,308.84756772190303,275.9280692183366
-921.0790636965734,304.9308377478548,260.06128494440003
-924.4696201047251,312.8010074796185,271.7584496234698
-924.3054457944355,297.39411521773496,279.66125027404877
-928.7860788342606,285.6816547954705,263.9351868375031
-921.6786568298044,297.0565891512393,244.3811087374384
-925.4505871016098,308.69257085753037,244.2852554134185
-928.8401237935484,297.253394380344,259.97154991765797
-913.5362228691755,300.9692402604355,256.2628420510572
-916.980824236615,301.1007836519097,267.9854996354515
-905.938317366277,324.0535758898299,248.4497764272203
-910.1191538394866,316.27722004966023,240.56431095226202
-902.1939194322222,327.85813708045055,244.56873652062635
-918.0719205845014,320.1368459157817,232.58299215328378
-909.6562026787947,324.1167982950345,252.3185797392586
-917.8537013149243,312.46756027797466,240.46131961475123
-901.9206354871441,308.61711185777,256.411720618152
-901.8125455685683,324.09232510592307,256.3607348075031
-914.9546481214279,312.1983551977485,213.03299291807093
-894.7051235641122,316.15791325274176,240.79578653260802
-910.7462793104679,304.53416814100643,224.89637133985616
-917.3897304380192,300.99881203061193,256.20573794313043
-917.8802139364616,308.59875696593645,240.47355620930696
-922.1161150851719,312.3951604268533,228.6234340982905
-906.1840689736048,308.5436922904356,244.57383510169123
-914.8455384866393,308.3642222369515,216.97215664880466
-890.4702421316149,312.36252950803794,252.6459086436245
-898.6677407677445,300.71329149097807,240.78864851911717
-913.9451290705798,300.8662489229248,244.48410007494917
-909.8458698944085,297.0361948269797,252.40729504978768
-899.0491146313982,304.4791034655056,228.99563051602743
-894.8417655366512,316.12426261771355,236.86885939643003
-902.8210449032035,316.1150851717967,228.90079690822046
-921.2972829661508,293.29077717671174,256.1731070243152
