acc_x[mg],acc_y[mg],acc_z[mg]
-935.5294621506836,261.8151968307221,185.42315673548055
-935.4478848536453,254.11124084167378,189.37455706077
-935.3112428811062,273.4552574018651,189.3113346555654
-928.3139502276517,269.35599822569384,169.80722264993653
-928.0406662825737,269.42431921196334,177.66005720607959
-931.4577353122627,273.42568563168874,189.36945847970512
-935.6661041232227,261.7805264794808,181.49622959930255
-947.663065368908,277.2078130656239,165.56622292016135
-928.2323729306136,280.9624081618086,169.76847343384338
-947.2266268297534,281.1796077151729,177.33272830171364
-944.0002447318911,269.4059643201298,161.72291251344754
-935.6110394477219,269.5181331035573,181.4707366939781
-947.3632688022924,281.14493736393166,173.40682088174862
-947.852732584522,250.12720959756905,165.65493823069042
-939.2738600847387,277.31896213283846,185.3140471006919
-932.4397220253604,269.31724900960063,161.89626426965378
-939.4105020572775,257.97596528886015,185.37726950589655
-939.6837860023556,277.2169905115407,173.53428540837086
-939.7653632993938,265.6105805754259,173.57303462446401
-947.4173137615803,254.09798453090508,177.42144361224274
-935.4754171913958,269.5517837385856,185.3976638301561
-943.3996318824472,257.97086670779527,181.39323826179177
-943.0457903565439,269.64559763017957,189.2083433180546
-935.747681420261,269.48346275231603,177.54482927401307
-927.4951181086305,269.5609611845024,193.3657263183656
-931.6759545818401,261.7846053443327,185.4802608434073
-943.1273676535822,258.03918769406476,189.2460728179348
-950.4519892114026,254.33353897610297,200.92284317274505
-942.7725064114659,269.71391861644906,197.06117787419763
-939.2198151254506,265.74722254796495,189.2787037367501
-950.8343827912694,258.0993509506305,189.1308448858683
-946.8442332498867,277.41277602443245,189.12472658859042
-935.6385717854722,265.64932979151905,181.4839930047468
-939.1372181121994,258.04428627512965,193.23112377825254
-939.2463277469882,261.8784192359267,189.29196004751878
-943.3731192609098,261.8396700198335,181.38100166723603
-940.1467371630476,269.3763925499534,161.78001662137427
-951.1617116956352,269.6027695492345,177.31335369366707
-943.0733226942943,265.7767943181413,189.22057991261036
-943.3996318824472,257.97086670779527,181.39323826179177
-947.7721750036966,261.7325998174708,165.61618901459724
-939.1647504499499,273.4848291720415,189.25321083142563
-947.5264233963688,277.2424834168651,169.49213034012635
-935.2031529625307,288.93047065001815,189.26034884491648
-943.6464032059878,281.0806952425141,169.53801756971038
-943.4271642201977,273.41242932092,177.41634503117785
-942.855103424717,277.41787460549733,193.10977754890817
-935.556994488434,277.25573972763385,181.44524378865364
-947.0084075601761,273.5103220773659,185.21105576318112
-947.662045652695,257.8984668566738,169.555352745331
-939.9285178934703,281.0174728373094,165.6692142576721
-955.2059061963056,261.86108406030604,173.35379563867377
-935.5845268261845,273.3869364155956,181.45850009942237
-931.9482188107052,261.7162843580632,177.62742628726429
-924.1606460921927,273.26355075382526,177.70492471945062
-932.4397220253604,269.31724900960063,161.89626426965378
-928.4230598624405,273.1901311864908,165.86805891920278
-942.9642130595057,261.94266135734426,193.1597436433441
-958.977836468111,254.1877195576471,177.2480918560365
-944.6814151621605,269.2356717125624,142.0892965487705
-943.782025462314,261.7376983985357,169.601239974915
-947.8812846384853,265.5677524944808,161.67702528386351
-951.1617116956352,269.6027695492345,177.31335369366707
-936.5654938230692,269.2784997935075,153.985305889371
-943.4006515986601,277.2802129167453,177.40308872040913
-935.5845268261845,273.3869364155956,181.45850009942237
-940.2283144600858,257.7710023300516,161.81876583746745
-948.1810812051007,261.630628196173,153.83642732227622
-939.0556408151613,269.65069621124445,193.1923745621594
-939.0831731529117,265.7818928992062,193.20563087292808
-931.9767708646685,277.156827254975,173.65053305665037
-954.3880937934973,262.06604701911465,196.91331902331584
-935.4203525158949,257.9800441537121,189.36232046621427
-946.790188290599,265.8410364395589,193.0893832246486
-950.8884277505571,250.36174432655397,189.15633779119273
-943.4822288956984,265.6748226968435,177.4418379365023
-939.6827662861426,257.9076443025906,177.5244349497535
-924.1606460921927,273.26355075382526,177.70492471945062
-935.2837105433559,258.0147145049533,193.2882278861793
-950.943492426058,261.9334839114275,185.19168115513455
-947.1715621542526,269.6068484140864,181.29738493777182
-947.5264233963688,257.9321174917021,173.482279881509
-954.960154588978,277.3699479434874,177.22973696420289
-947.5264233963688,277.2424834168651,169.49213034012635
-952.1436984087329,265.49433292714644,149.84015948361574
-958.9227717926102,242.6149602565606,181.21274849209468
-939.3013924224889,273.4501588208002,185.3273034114606
-942.8275710869666,281.2866779175356,193.09652123813945
-954.960154588978,277.3699479434874,177.22973696420289
-951.543085559289,273.368581523762,165.52033569057733
-934.9574013552028,285.1299883242494,197.12643971182823
-931.7310192573408,273.35736464541924,181.51560420734913
-943.4006515986601,277.2802129167453,177.40308872040913
-939.573656651354,273.38183783453064,177.47344913910462
-943.1824323290829,269.6119469951513,185.2814161818766
-943.2640096261213,277.31488326798654,181.33001585658712
-958.9503041303607,277.36586907863546,173.24570572009813
-938.6742669515074,285.19321072945405,200.9952430238665
-947.4988910586186,261.8009208037404,173.47004328695326
-943.8095578000645,277.1782412954475,165.62332702808808
-927.7408697159581,273.3614435102711,185.50065516766685
-948.0995039080625,273.23601841607484,153.79869782239606
-940.2018018385485,280.9491518510399,157.8153599853161
-942.9091483840048,269.6802679814208,193.1352704542326
-943.2640096261213,258.0055370590365,185.32016539796976
-940.0100951905085,269.4110629011946,165.7069437575523
-935.6385717854722,265.64932979151905,181.4839930047468
-940.037627528259,284.8516057981064,161.73005052693838
-943.5087415172359,261.8060193848052,177.454074531058
-947.5264233963688,257.9321174917021,173.482279881509
-932.1123931209945,277.1231766199467,169.72360592047235
-943.5087415172359,261.8060193848052,177.454074531058
-947.3082041267917,269.5731977790581,177.37045780159383
-950.9975373853458,254.19587728735095,185.217174060459
-946.9258105469249,265.80636608831765,189.16347580468357
-939.6287213268549,265.64525092666713,177.49894204442904
-939.6011889891045,269.51303452249243,177.4867054498733
-939.9835825689712,273.2798662132329,165.69470716299656
-935.556994488434,277.25573972763385,181.44524378865364
-951.1617116956352,269.6027695492345,177.31335369366707
-927.8775116884973,273.32677315902987,181.57372803148886
-939.6011889891045,269.51303452249243,177.4867054498733
-950.4795215491531,269.7740818730148,196.94594994213114
-939.3013924224889,273.4501588208002,185.3273034114606
-939.4645470165653,269.54770487373366,181.41261286983834
-951.3523986274621,261.8315122901297,173.41191946281353
-943.8095578000645,277.1782412954475,165.62332702808808
-943.7004481652758,273.3430886184375,169.56249075882184
-939.1647504499499,273.4848291720415,189.25321083142563
-931.4577353122627,273.42568563168874,189.36945847970512
-924.18715871373,269.394747441787,177.7181810302193
-947.5804683556568,269.5048767927886,169.51762324545084
-951.1892440333856,285.0433124461463,173.33544074684016
-943.4822288956984,265.6748226968435,177.4418379365023
-947.5539557341193,273.37368010482686,169.50538665089508
-954.960154588978,277.3699479434874,177.22973696420289
-940.1742695007981,265.5075892379151,161.793272932143
-935.7487011364739,288.79280896126613,173.5546797326304
-943.5097612334489,281.1153655937553,173.4639249896754
-943.1273676535822,277.3495536192278,185.25694299276515
-946.7086109935606,277.4474463756737,193.0516537247684
-935.0389786522413,273.52357838813464,197.16416921170838
-934.685137126338,285.19830931051894,204.97927426797125
-939.7102986238931,273.3481871995024,173.5475417191396
-931.3761580152245,285.0310758515905,189.33172897982496
-935.6936364609729,277.22106937639256,177.5193363686886
-939.573656651354,273.38183783453064,177.47344913910462
-934.9023366797021,273.5572290231629,201.0910963478864
-939.3829697195271,261.8447686008984,185.3650329113408
-942.6919488306405,281.32032855256386,197.02344837431744
-931.9757511484554,257.84748104602494,177.63966288182002
-928.4495724839777,269.32132787445255,165.88029551375854
-943.3455869231594,265.7084733318718,181.3677453564673
-943.4271642201977,273.41242932092,177.41634503117785
-947.7446426659462,265.6014031295091,165.60395242004154
-943.4822288956984,265.6748226968435,177.4418379365023
-947.2806717890412,273.4420010910964,177.3582212070381
-939.6287213268549,284.9545971356172,173.5098122192594
-939.7653632993938,284.91992678437595,169.5828850830814
-954.9876869267284,273.5011446314491,177.24299327497158
-931.5127999877636,265.68807900761226,189.39495138502957
-935.747681420261,269.48346275231603,177.54482927401307
