acc_x[mg],acc_y[mg],acc_z[mg]
800.329368336792,-283.070161574034,484.06132573304853
788.4976011176091,-302.3580937425115,480.0242692458689
791.4231669326427,-298.7584955106994,452.5837059546328
803.3660832190402,-321.923388720919,468.53920553909853
802.5758031539824,-337.5699142928524,448.9575951012834
798.6947632473883,-341.40812611850123,448.9117078716993
806.5108880198642,-345.302422335864,452.9671192507126
824.7423941916966,-357.29632443291035,425.8079976342584
813.3725584169927,-368.7456980722265,433.5252099340754
818.4803169277991,-345.28916602509526,464.9202326992399
818.9157357507407,-322.00802516659616,472.6976082556225
804.6478664987535,-313.87782780052316,503.85299771073716
816.31647912386,-298.49234957911216,503.9763833725074
809.9452922251738,-282.6500384942871,539.1484349905421
798.1400376275283,-278.76084085798925,531.1089923674242
786.6345795964984,-290.2438651323337,534.9002972472762
775.4829630913717,-290.0511387680809,546.506707183391
775.101589227718,-305.59467300250344,538.7038387216837
771.4122559691639,-320.9719934942106,546.549535264336
770.9207527545085,-332.6803750516232,534.8085227881081
792.0513121198371,-325.6341360199457,476.231944649804
791.5873412429321,-314.1653877725829,460.4875263214248
779.862644226112,-298.66978020017035,452.41035419842666
787.5686396475862,-260.11023132262295,444.54630276394084
755.7585923837397,-225.36136193297406,408.63087802664523
741.8170323199055,-190.11589074760496,443.6254990236218
727.0576598532629,-174.38574844620743,459.0497264611259
716.478104143617,-170.18757679737732,486.349568914971
698.0569307561707,-185.27427816838576,513.5963861257413
678.081709860146,-227.78420765500965,501.6667261501125
674.0110027379382,-258.70404266492636,501.70955423105755
645.4548699097041,-270.4787057761825,458.1513564774924
634.3848307016158,-258.68058919202787,469.719017197514
606.6199976546527,-235.49938052240066,441.7533000565943
572.0740517913865,-215.88819831440912,441.16900266655796
548.5441001769209,-196.50237338948574,425.0534076366548
531.766709324795,-177.41634503117785,381.56659001799807
522.0681884231619,-150.82316591292647,318.5379308938323
520.8965344944503,-182.01220600306937,291.15345199431
535.8741262306701,-205.4116339422739,283.6065323020604
504.8563984643074,-232.25464353270488,283.23331616811043
476.6826592159403,-267.10446482743856,255.45624652659168
445.61088649028983,-301.6850810419461,255.1075035817532
422.46230873947786,-305.3754340167132,254.77303666389648
407.83957824537435,-328.2293137819745,282.1034706041309
380.457138778278,-347.43260950477486,273.9090311166403
360.9989140022332,-355.05600791299787,269.71901719751395
338.1501328180368,-316.18952445534416,269.2448491584792
318.828550014531,-304.4689063033758,264.99161283414827
283.2475921950921,-335.322459759449,244.9399132221503
257.40084534474056,-374.4459117027732,174.0410843662209
244.61360403399735,-374.6651506885634,138.52844753305158
177.38677326100148,-405.4850535096083,94.45498717706863
125.07431181902079,-385.34871745193317,136.77453564672953
29.937950268440296,-388.1651736321782,170.68009972824564
-94.22646877374028,-386.43165607011576,255.15644995997616
-251.5701080389328,-461.2900429810385,398.26240357308563
-379.88711741522343,-521.3910968577446,486.8094609270241
-455.400162134878,-628.5387976526133,552.7585872851586
-474.7462181274951,-736.5440797825966,572.4564453712533
-444.62686034476604,-798.7498279228892,565.2684657859718
-482.9416773311988,-864.0493950533568,584.5380430626158
-532.5743245654735,-817.2036322291507,587.5604819178823
-586.0319273146284,-824.3875329495802,602.4830089786013
-651.5925417956183,-928.1660913767699,621.4742037291022
-690.9433904544366,-1005.3117017534021,613.2950599848064
-683.1547980197112,-993.765455073853,613.3735781332056
-679.657171409197,-947.5406994233505,593.6461482769346
-763.5339285076964,-935.0746687196954,615.8953363278999
-805.4310085503205,-903.7296120489669,623.0119357782729
-891.0881901566795,-906.1616352169192,708.0787016973177
-1023.9378380996569,-985.7127561399664,780.924168803822
-1080.674848189749,-1046.7896784324923,823.4514334660665
-1133.9958089663646,-1092.5545420709418,850.2801670295158
-1175.651216266513,-1026.3953541729338,857.2815385478222
-1243.2380068626903,-967.4863485491989,895.316953291899
-1258.217638031336,-905.4672084758813,894.8835739013833
-1252.4766357522703,-875.12453284251,832.073134046795
